id;kodu;adi;nufus;rakim;googleMaps;openStreetMap;bolge;enlem;boylam;alankod;kiyi;bsehir;alan
1;1;adana;2270298;25;https://goo.gl/maps/4yHUNdZuhcBn7rqX8;https://www.openstreetmap.org/relation/167216;akdeniz;37.001.667;35.328.889;322;True;True;13844
2;2;adýyaman;604978;701;https://goo.gl/maps/UqRzeK1ApyPjbhpp6;https://www.openstreetmap.org/relation/223141;güneydoðu anadolu;37.764.722;38.278.611;416;False;False;7337
3;3;afyonkarahisar;751344;1012;https://goo.gl/maps/YeNjtvM93DdWqXZ46;https://www.openstreetmap.org/relation/223171;ege;38.750.278;30.556.667;272;False;False;14016
4;4;aðrý;511238;1630;https://goo.gl/maps/XRhjXkNfniLTjCfY7;https://www.openstreetmap.org/relation/186433;doðu anadolu;39.719.444;43.050.556;472;False;False;11099
5;5;amasya;339529;400;https://goo.gl/maps/1wM3GEACXZW3kG219;https://www.openstreetmap.org/relation/223452;karadeniz;40.649.722;35.835.278;358;False;False;5628
6;6;ankara;5803482;905;https://goo.gl/maps/Ri3Zh3yBka5RhXdG8;https://www.openstreetmap.org/relation/223422;iç anadolu;3.992.077;3.285.411;312;False;True;25632
7;7;antalya;2696249;62;https://goo.gl/maps/bs2JWRpPJPLLfTyv5;https://www.openstreetmap.org/relation/223132;akdeniz;3.688.414;3.070.563;242;True;True;20177
8;8;artvin;172356;530;https://goo.gl/maps/BNqMFsBRd8AUX9mx8;https://www.openstreetmap.org/relation/223448;karadeniz;4.118.222;4.181.889;466;True;False;7393
9;9;aydýn;1161702;92;https://goo.gl/maps/453kMPbSgGMJPWcg7;https://www.openstreetmap.org/relation/223166;ege;3.784.444;2.784.556;256;True;True;8116
10;10;balýkesir;1273519;145;https://goo.gl/maps/RJquCx4SbtBENXDu9;https://www.openstreetmap.org/relation/223464;marmara;3.964.861;278.825;266;True;True;14583
11;11;bilecik;228058;513;https://goo.gl/maps/LJDq5jVJdrcLhCHu5;https://www.openstreetmap.org/relation/223420;marmara;4.014.556;2.997.917;228;False;False;4179
12;12;bingöl;285655;1159;https://goo.gl/maps/4YXDvYHT4iHFCMDb7;https://www.openstreetmap.org/relation/223444;doðu anadolu;38.885;4.049.861;426;False;False;8004
13;13;bitlis;359747;1637;https://goo.gl/maps/p3fCL2MKcfHeqXcD6;https://www.openstreetmap.org/relation/223441;doðu anadolu;3.839.528;4.212.361;434;False;False;8294
14;14;bolu;324789;741;https://goo.gl/maps/T8DJCNo4S8ngxcY36;https://www.openstreetmap.org/relation/223461;karadeniz;4.073.528;3.160.639;374;False;False;8313
15;15;burdur;277452;963;https://goo.gl/maps/BA4vZ8FHqw9TdWFt8;https://www.openstreetmap.org/relation/2319368;akdeniz;3.772.111;3.029.056;248;False;False;7175
16;16;bursa;3214571;238;https://goo.gl/maps/D4vgiGXypSUoAnb5A;https://www.openstreetmap.org/relation/223463;marmara;4.018.222;2.906.111;224;True;True;10813
17;17;çanakkale;570499;11;https://goo.gl/maps/TUMVgeTAWBChTA5D9;https://www.openstreetmap.org/relation/223471;marmara;4.015.556;2.641.444;286;True;False;9817
18;18;çankýrý;205501;730;https://goo.gl/maps/6kF6GM2DkPqqCoMD8;https://www.openstreetmap.org/relation/223454;marmara;40.6;3.361.667;376;False;False;7542
19;19;çorum;528351;822;https://goo.gl/maps/wQa5dtRQDPCU4UNv9;https://www.openstreetmap.org/relation/223453;karadeniz;4.055.056;3.495.556;364;False;False;12428
20;20;denizli;1059082;392;https://goo.gl/maps/aVMraLcFzdK6MbeT9;https://www.openstreetmap.org/relation/223169;ege;3.777.639;2.908.611;258;False;True;12134
21;21;diyarbakýr;1818133;674;https://goo.gl/maps/qsS4gxc5GdbQeMo57;https://www.openstreetmap.org/relation/223435;güneydoðu anadolu;3.791.417;4.023.056;412;False;True;15168
22;22;edirne;419913;50;https://goo.gl/maps/xBHKDxVHbWD2RrHs6;https://www.openstreetmap.org/relation/223465;marmara;4.167.083;2.655.556;284;True;False;6145
23;23;elazýð;604411;1041;https://goo.gl/maps/aALifwxa3ZNacgtn6;https://www.openstreetmap.org/relation/223443;doðu anadolu;3.868.056;3.922.639;424;False;False;9383
24;24;erzincan;243399;1216;https://goo.gl/maps/9ypr7KJcnAEakUqY6;https://www.openstreetmap.org/relation/223445;doðu anadolu;39.75;39.5;446;False;False;11815
25;25;erzurum;749993;1923;https://goo.gl/maps/ssmkHABXNprF5JFC9;https://www.openstreetmap.org/relation/186432;doðu anadolu;3.990.861;4.127.694;442;False;True;25006
26;26;eskiþehir;915418;796;https://goo.gl/maps/rRM16qjwATHfezhF8;https://www.openstreetmap.org/relation/223421;iç anadolu;3.977.639;3.052.056;222;False;True;13960
27;27;gaziantep;2164134;838;https://goo.gl/maps/ySMoHHviNjRyBriG7;https://www.openstreetmap.org/relation/223139;güneydoðu anadolu;3.706.667;3.738.333;342;False;True;6803
28;28;giresun;461712;14;https://goo.gl/maps/xsmiZVAeBZrndZYE8;https://www.openstreetmap.org/relation/223449;karadeniz;4.091.667;38.4;454;True;False;7025
29;29;gümüþhane;148539;1174;https://goo.gl/maps/5nGQ1c66NJLJT2QL9;https://www.openstreetmap.org/relation/223541;karadeniz;40.45;3.948.333;456;False;False;6668
30;30;hakkari;287625;1756;https://goo.gl/maps/Pa4EUb6rz91uW66q9;https://www.openstreetmap.org/relation/174742;güneydoðu anadolu;3.758.333;4.373.333;438;False;False;7095
31;31;hatay;1544640;89;https://goo.gl/maps/2VkFg1AM9B4Xv9W89;https://www.openstreetmap.org/relation/223122;akdeniz;36.2;3.616.667;326;True;True;5524
32;32;ýsparta;449777;1058;https://goo.gl/maps/v8tcHjuuCKyNMn687;https://www.openstreetmap.org/relation/223134;akdeniz;3.776.667;30.55;246;False;False;8946
33;33;mersin;1938389;18;https://goo.gl/maps/jVPgxP2wEF1BcUV66;https://www.openstreetmap.org/relation/223131;akdeniz;36.8;3.463.333;324;True;True;16010
34;34;istanbul;15655924;25;https://goo.gl/maps/wKdwRFM4NW8Wm6ZZ8;https://www.openstreetmap.org/relation/223474;marmara;4.101.384;2.894.966;212;True;True;5461
35;35;izmir;4479525;9;https://goo.gl/maps/nukYGi69xLMX7SNR6;https://www.openstreetmap.org/relation/223167;ege;3.841.885;2.712.872;232;True;True;11891
36;36;kars;278335;1756;https://goo.gl/maps/worCQtM2sdTAy6t8A;https://www.openstreetmap.org/relation/186431;doðu anadolu;4.060.833;4.308.333;474;False;False;10193
37;37;kastamonu;388990;814;https://goo.gl/maps/SSFqej5quZyQ6uZn7;https://www.openstreetmap.org/relation/186431;karadeniz;4.138.889;3.378.222;366;True;False;13064
38;38;kayseri;1445683;1060;https://goo.gl/maps/A27qXKh2FCWEzTzr8;https://www.openstreetmap.org/relation/154451;iç anadolu;3.873.111;3.547.889;352;False;False;16970
39;39;kýrklareli;377156;231;https://goo.gl/maps/v6PRExTopMCA2uhb6;https://www.openstreetmap.org/relation/223469;marmara;4.173.333;2.721.667;288;True;False;6459
40;40;kýrþehir;247179;991;https://goo.gl/maps/C7rn2oVtZDqz54HA7;https://www.openstreetmap.org/relation/154452;iç anadolu;3.914.222;3.417.056;386;False;False;6584
41;41;kocaeli;2102907;4;https://goo.gl/maps/PSVVkZbPKuEUrim67;https://www.openstreetmap.org/relation/223473;marmara;4.076.667;2.991.667;262;True;True;3397
42;42;konya;2320241;1023;https://goo.gl/maps/EMCU5es81LqioNid7;https://www.openstreetmap.org/relation/223133;iç anadolu;3.786.667;3.248.333;332;False;True;40838
43;43;kütahya;575674;958;https://goo.gl/maps/DsRnEr82a7fsJ1Xf8;https://www.openstreetmap.org/relation/223172;ege;3.941.667;2.998.333;274;False;False;11634
44;44;malatya;742725;970;https://goo.gl/maps/HkMktwFVCqoCt14g7;https://www.openstreetmap.org/relation/223426;doðu anadolu;38.355;38.305;422;False;True;12259
45;45;manisa;1475716;79;https://goo.gl/maps/E9DzgTLFvBV3rstE7;https://www.openstreetmap.org/relation/223168;ege;3.861.361;2.742.694;236;False;True;13339
46;46;kahramanmaraþ;1116618;562;https://goo.gl/maps/s3dakhk52nvps97L9;https://www.openstreetmap.org/relation/223138;akdeniz;3.758.333;3.693.333;344;False;True;14520
47;47;mardin;888874;938;https://goo.gl/maps/WidjMsfgeZwTdGqC9;https://www.openstreetmap.org/relation/223436;güneydoðu anadolu;3.731.111;4.074.361;482;False;True;8780
48;48;muðla;1066736;659;https://goo.gl/maps/4YiaJwzP6U5Z2irW7;https://www.openstreetmap.org/relation/223136;ege;3.721.667;2.836.667;252;True;True;12654
