il_adi;plaka;belediye_ismi;belediye_tel;belediye_faks;belediye_mail;belediye_web;nufus;alankodu;bolge;bilgi
adana;1;adana büyükşehir;3224585831;3224543787;adana@adana-bld.gov.tr;www.adana.bel.tr;2149260;322;akdeniz;adana, türkiye'nin bir ili ve en kalabalık altıncı şehri. 2015 yılı verilerine göre, 2.183.167 nüfusa sahiptir. şehir merkezi, akdeniz'den 30 km içeride seyhan nehri'nin üzerinde bulunmaktadır. akdeniz sahil şeridinde ise karataş ve yumurtalık (ayas) ismi ile iki adet sahil ilçesi bulunmaktadır. yine akdeniz üzerinde bulunan ceyhan ilçesinde ise ticari amaçlı liman bulunmaktadır.
adiyaman;2;adıyaman;4162161020;4162161027;bim@adiyaman.bel.tr;www.adiyaman.bel.tr;224215;416;güneydoğu anadolu;adıyaman, adıyaman ilinin merkezi olan ilçedir.
afyonkarahisar;3;afyonkarahisar;2722152253;2722120974;info@afyon.bel.tr;www.afyon.bel.tr;203443;272;ege;afyonkarahisar, eski ve halk arasındaki ismiyle afyon, aynı isimli ilin merkezidir. mermercilik ve gıda sektöründe türkiye içinde ve dışında isim yapmıştır. 2005 yılında eski ismi afyon olan şehrin ismi afyonkarahisar olarak değiştirilmiştir.
agri;4;ağrı;4722151023;4722152602;agribelediyesi@gmail.com;www.agri.bel.tr;110199;472;doğu anadolu;çok soğuk bir iklimi olup, ormanlık alan yok denecek kadar azdır. doğubayazıt ilçesi turizmcilerin gözdesi olup, ishakpaşa sarayı'nın bulunduğu yerdir. patnos ise ağrı'nın stratejik olarak çevre illere köprü vaziyeti gören merkez ilçesidir. diyadin, hamur, eleşkirt, tutak ve taşlıçay diğer ilçeleridir. halkın büyük çoğunluğu tarım ve hayvancılıkla uğraşmaktadır.
aksaray;68;aksaray;3822135492;3822136884;belediye@aksaray.bel.tr;www.aksaray.bel.tr;189977;382;iç anadolu;aksaray, aksaray ilinin merkez ilçesi ile aynı ada sahip şehir.
amasya;5;amasya;3582188000;3582183286;baskan@amasya.bel.tr;www.amasya.bel.tr;96220;358;karadeniz;amasya, karadeniz bölgesi'nde amasya ilinin merkezi olan kenttir. 2014 yılı itibariyle toplam 321.913 nüfusa sahiptir. merkez ilçe ise 135.950 nüfusa sahiptir.
ankara;6;ankara büyükşehir;3125052000;3125072212;bilgiedinme@ankara-bel.gov.tr;www.ankara-bel.gov.tr;5045083;312;iç anadolu;ankara, türkiye'nin bir ili, başkenti ve en kalabalık ikinci şehri.[4] nüfusu 2015 itibarıyla 5.270.575 kişidir.[5] coğrafi olarak türkiye'nin merkezine yakın bir konumda bulunur ve batı karadeniz bölgesi'nde kalan kuzey kesimleri hariç, büyük bölümü iç anadolu bölgesi'nde yer alır. yüz ölçümü olarak ülkenin üçüncü büyük ilidir. etrafı bolu, çankırı, kırıkkale, kırşehir, aksaray, konya ve eskişehir illeri ile çevrilidir.
antalya;7;antalya büyükşehir;2422495002;2422495015;ozelkalem@antalya.bel.tr;www.antalya.bel.tr;2158265;242;akdeniz;antalya, türkiye'nin bir ili ve en kalabalık beşinci şehri. 2015 sonu itibarıyla 2 milyon 288 bin 456 kişilik nüfusa sahiptir.[2] nüfusun 1.156.076'sı erkek, 1.132.380'i kadındır. tamamı akdeniz bölgesi'nin batısında yer alır ve antalya körfezi'yle batı torosların arasında kurulmuştur. yüzölçümü bakımından türkiye'nin altıncı büyük ilidir.[3] güneyinde akdeniz, batısında muğla, kuzeyinde burdur ve ısparta, kuzeydoğusunda konya, doğusunda ise karaman ve mersin illeri vardır.
ardahan;75;ardahan;4782113052;4782114524;ardahanbel@hotmail.com;www.ardahan.bel.tr;18857;478;doğu anadolu;ardahan, türkiye'nin doğu anadolu bölgesi ile karadeniz sınırında kafkaslar üzerinde kurulmuş olan ardahan ilinin merkezidir. 27 mayıs 1992 tarihinde kars ilinden ayrılarak türkiye'nin 75. ili olmuştur. 2012 yılı itibariyle 19.075 olan nüfusuyla türkiye'deki en küçük il merkezidir.
artvin;8;artvin;4662123711;4662123712;artvin@artvin.bel.tr;www.artvin.bel.tr;25192;466;karadeniz;artvin (gürcüce: áƒáƒ áƒ—áƒ•áƒ˜áƒœáƒ˜ (artvini), rusça: ğÑ€ğ´ğ²ğ¸ğ½ (ardvin), ermenice: Ô±ö€Õ¤Õ¾Õ«Õ¶ (ardvin ), lazca: art'vini)
