il_adi;belediye_ismi;belediye_tel;belediye_faks;belediye_mail;belediye_web;nufus
adana;seyhan;3224328939;3224334970;basin@seyhanbel.tr;www.seyhan.bel.tr;771947
adana;yüreðir;3223212846;3223213602;bilgi@yuregir.bel.tr;www.yuregir.bel.tr;421455
adana;aladað;3225912018;3225912006;aladag.belediyesi@mynet.com;;17221
adana;ceyhan;3226134020;3226134026;info@ceyhan.bel.tr;www.ceyhan.bel.tr;159243
adana;feke;3227412022;3227412154;fekebelediyesi@hotmail.com;www.fekebel.tr;18534
adana;imamoðlu;3228921717;3228921717;imamoglubelediyesi@mynet.com;www.imamoglu.bel.tr;29748
adana;karaisalý;3225513280;3225513287;info@karaisali.bel.tr;www.karaisali.bel.tr;22230
adana;karataþ;3226813045;3226813045;info@karatasbelediyesi.com;;21862
adana;kozan;3225158400;3225158413;kozan@kozan.bel.tr;www.kozan.bel.tr;128153
adana;pozantý;3225813027;3225813507;belediye@pozanti.bel.tr;www.pozanti.bel.tr;20954
adana;saimbeyli;3227613300;3227612112;saimbeylibelediyesi@hotmail.com;www.saimbeyli.bel.tr;16572
adana;tufanbeyli;3227818391;3227818391;tufanbeyli@tufanbeyli.bel.tr;www.tufanbeyli.bel.tr;18234
adana;yumurtalýk;3226712017;3226712113;yumurtalikbelediyesi@mynet.com;www.yumurtalik.tr;18463
adana;sarýçam;3223414109;3223410808;info@saricam.bel.tr;www.saricam.bel.tr;138139
adana;çukurova;3222396464;3222480801;bilgi@cukrova.bel.tr;www.cukurova.bel.tr;346505
adýyaman;besni;4163181009;4163181221;;www.besni.bel.tr;28213
adýyaman;çelikhan;4164512011;4164512011;celikhan02@gmail.com;www.celikhan.bel.tr;8406
adýyaman;gerger;4164312127;4164312223;;www.gerger.bel.tr;3187
adýyaman;gölbaþý;4167816100;4167816197;baskan@golbasi.bel.tr;www.golbasi.bel.tr;28652
adýyaman;kahta;5324215437;4167257898;kahta@kahta.bel.tr;www.kahta.bel.tr;68367
adýyaman;samsat;4164112025;4164112024;info@samsatbelediyesi.com@@;www.samsatbelediyesi.com;4268
adýyaman;sincik;4164212008;4164212007;;www.sincik.bel.tr;4157
adýyaman;tut;4164412002;4164412541;;www.tut.bel.tr;3718
afyonkarahisar;baþmakçý;2724112047;2724112003;basmakci_belediyesi@hotmail.com;www.basmakci.bel.tr;5559
afyonkarahisar;bayat;2724912003;2724912417;bayat1907@gmail.com;bayat.bel.tr;4397
afyonkarahisar;bolvadin;2726125234;2726124829;basinburosu@gmail.com;www.bolvadin.bel.tr;31691
afyonkarahisar;çay;2726312951;2726312954;caybel@hotmail.com;www.cay.bel.tr;14624
afyonkarahisar;çobanlar;2722612004;2722612051;cobanlarbelediyesi@ttmail.com;www.cobanlar.bel.tr;9129
afyonkarahisar;dazkýrý;2724213082;2724213305;dazkiri@dazkiri.bel.tr;www.dazkiri.bel.tr;4988
afyonkarahisar;dinar;2723536014;2723536622;acarlaras@superonline.com;www.dinar.bel.tr;25300
afyonkarahisar;emirdað;2724427801;2724412018;info@emirdag.bel.tr;www.emirdag.bel.tr;19132
afyonkarahisar;evciler;2724312061;2724312151;evcilerbld@hotmail.com;www.afyonevciler.bel.tr;3804
afyonkarahisar;hocalar;2725512002;2725512466;hocalarbelediyesi03@hotmail.com;www.hocalar.bel.tr;2293
afyonkarahisar;ihsaniye;2722715010;2722715207;belediye@afyonihsaniye.bel.tr;www.afyonihsaniye.bel.tr;3911
afyonkarahisar;iscehisar;2723412022;2723413096;bilgi@iscehisar.bel.tr;;12112
afyonkarahisar;kýzýlören;2725717655;2725717057;;;1673
afyonkarahisar;sandýklý;2725125005;2725126112;haber@sandikli.bel.tr;www.sandikli.bel.tr;31951
afyonkarahisar;sinanpaþa;2723117748;2723117138;;www.sinanpasa.bel.tr;3876
afyonkarahisar;sultandaðý;2726561290;2726561016;sultandagibelediyesi@gmail.com;;5897
afyonkarahisar;þuhut;2727182001;2727181059;info@suhut.bel.tr;www.suhut.bel.tr;12841
aðrý;diyadin;5334706369;4725112009;diyadin.belediyesi@mynet.com;www.diyadin.bel.tr;20591
aðrý;doðubayazýt;4723126399;4723126399;bilgi@dogubayazit.bel.tr;www.dogubayazit.bel.tr;73737
aðrý;eleþkirt;4727112084;4727114026;;www.eleskirt.bel.tr;10868
aðrý;hamur;4724512021;4724512015;;www.hamurbelediyesi.com;3136
aðrý;patnos;4726161128;4726161562;baskan@patnos.bel.tr;ww.patnos.bel.tr.;62385
aðrý;taþlýçay;4725512181;4725512208;taslicaybld@hotmail.com;www.taslicay.bel.tr;6519
aðrý;tutak;4724112003;4724112176;tutakbelediyesi@gmail.com;tutak.bel.tr;7270
aksaray;aðaçören;3823312007;3823312005;belediyeagacoren@hotmail.com;;2989
aksaray;eskil;3824114005;3824114735;eskil.bel@hotmail.com;www.eskil.bel.tr;17033
aksaray;gülaðaç;3824312075;3824312072;gulagacbelediye@mynet.com;www.gulagac.bel.tr;4517
aksaray;güzelyurt;3824512019;3824512036;guzelyurt@guzelyurt-belediyesi.com;www.guzelyurt-belediyesi.com;2647
aksaray;ortaköy;3823518843;3823513859;belediye@ortakoy68.bel.tr;www.ortakoy68.bel.tr;18539
aksaray;sarýyahþi;3823112002;3823112004;info@sariyahsi.bel.tr;www.sariyahsi.bel.tr;4038
amasya;göynücek;3586152211;3586152081;goynucek@goynucek.bel.tr;www.goynucek.bel.tr;2794
amasya;gümüþhacýköy;3587171004;3587171353;yazi@gumuþhacikoy.bel.tr;www.gumuþhacikoy.bel.tr;14096
amasya;hamamözü;3587876002;3587876093;hamamozubelediyesi@mynet.com;www.hamamozu.bel.tr;1530
amasya;merzifon;3585131974;3585131208;bilgiislem@merzifon.bel.tr;www.merzifon.bel.tr;54295
amasya;suluova;3584171056;3584172059;suluova@suluova.bel.tr;www.suluova.bel.tr;37203
amasya;taþova;3583121006;3583121406;tasovabel@hotmail.com;;9859
ankara;altýndað;3123094010;3123091929;ozelkalem@altýndag.bel.tr;www.altindag.bel.tr;359597
ankara;çankaya;3124588800;3124314468;blbaskan@cankaya.bel.tr - halkils@çankaya.bel.tr;www.cankaya.bel.tr;914501
ankara;etimesgut;3122443232;3122444646;e-belediye@etimesgut.bel.tr;www.etimesgut.bel.tr;469626
ankara;gölbaþý;3124855000;3124855006;info@ankaragolbasi.bel.tr;www.ankaragolbasi.bel.tr;115924
ankara;keçiören;3123610808;3123611005;;www.kecioren.bel.tr;848305
ankara;mamak;3125507373;3125507166;;www.mamak.bel.tr;568396
ankara;sincan;3122693838;3122717360;sincan@sincan.bel.tr;www.sincan.bel.tr;484694
ankara;yenimahalle;3123440231;3123153548;yenimahallebelediyesi@yenimahalle.bel.tr;www.yenimahalle.bel.tr;591462
ankara;akyurt;3128441097;3128441010;baskan@akyurt.bel.tr;www.akyurt.bel.tr;28349
ankara;ayaþ;3127122600;3127122120;ayasbelediyesi@mynet.com@-@ayasbelediyesi@gmail.com;www.ayas.bel.tr;12997
ankara;bala;3128761008;3128761019;info@bala.bel.tr;www.bala.bel.tr;23138
ankara;beypazarý;3127622510;3127631358;belediye@beypazari-bld.gov.tr;www.beypazari-bld.gov.tr;47234
ankara;çamlýdere;3127531013;3127532488;camlidere_belediyesi@mynet.com;www.camlidere.bel.tr;7181
ankara;çubuk;3128371750;3128385960;baskanlik@cubuk.bel.tr;www.cubuk.bel.tr;83449
ankara;elmadað;3128630650;3128633660;elmadagbasin@gmail.com;www.elmadag.bel.tr;43873
ankara;evren;3128935001;3128935588;evren_belediyesi@hotmail.com;www.evren.bel.tr;2995
ankara;güdül;3127281009;3127281227;gudulbel@hotmail.com;www.gudul.bel.tr;8921
ankara;haymana;3126582427;3126581848;haymana@haymana.bel.tr;www.haymana.bel.tr;42566
ankara;kalecik;3128571515;3128571016;kalecikbel@kalecik.bel.tr;www.kalecik.bel.tr;13678
ankara;kazan;3128145300;3128141012;baskan@kazan.bel.tr;www.kazan.bel.tr;45879
ankara;kýzýlcahamam;3127361030;3127363002;kizilcahamambelediyesi@hotmail.com;www.kizilcahamam.bel.tr;26694
ankara;nallýhan;3127851011;3127854560;belediye@nallihan.bel.tr;www.nallihan.bel.tr;29797
ankara;polatlý;3126231043;3126239700;polatl-bld@ttmail.com;www.polatli.bel.tr;117393
ankara;þereflikoçhisar;3126870257;3126870311;sereflikochisar.bld@gmail.com;www.sereflikochisar-bld.gov.tr;34577
ankara;pursaklar;3123286800;3125271877;pursakalrb@ekolay.net;www.pursaklar.bel.tr;123857
antalya;akseki;2426781008;2426781266;aksekibelediyesi@hotmail.com;;13083
antalya;alanya;2425131002;2425102111;baskan@alanya.bel.tr;www.alanya.bel.tr;276277
antalya;elmalý;2426186701;2426181278;elmalibelediyesi@ttmail.com;www.elmali.bel.tr;38563
antalya;finike;2428551102;2428553225;finikebelediyesi@hotmail.com;www.finikebelediyesi.com;46530
antalya;gazipaþa;2425721013;2425721627;info@gazipasa.bel.tr;www.gazipasa.bel.tr;48134
antalya;gündoðmuþ;2427812011;2427812161;gndbelediye@ttmail.com;;8162
antalya;ibradý;2426912004;2426912166;info@ibradi.bel.tr;www.ibradi.bel.tr;2865
antalya;demre;2428715051;2428713661;info@demre.bel.tr;;25718
antalya;kaþ;2428361020;2428361030;kasbelediyesi@mynet.com;www.kasbelediyesi.bel.tr;55061
antalya;kemer;2428141503;2428141107;info@muþtafagul.org;www.antalya-kemer.bel.tr;42421
antalya;korkuteli;2426436075;2426433243;www.korkuteli.bel.tr;www.korkuteli.bel.tr;51857
antalya;kumluca;2428872700;2428871098;kumluca@kumluca-bld.gov.tr;www.kumluca-bld.gov.tr;66159
antalya;manavgat;2427461082;2427467575;belediye@manavgat.bel.tr;www.manavgat.bel.tr;208526
antalya;serik;2427221970;2427221968;info@serik.bel.tr;www.serik.bel.tr;113761
antalya;aksu;2424263049;2424263082;info@aksu.bel.tr;;67476
antalya;döþemealtý;2424213053;2424213185;bilgi@dosemealti.bel.tr;www.dosemealti.bel.tr;52013
antalya;kepez;2423105858;2423390185;info@kepez-bld.gov.tr;www.kepez-bld.gov.tr;450734
antalya;konyaaltý;2422455500;2422455549;info@konyaalti.bel.tr;www.konyaalti.bel.tr;137670
antalya;muratpaþa;2423235429;2423237718;info@muratpasa-bld.gov.tr;www.muratpasa-bld.gov.tr;453255
ardahan;çýldýr;4783112800;4783112515;cildirbelediye@mynet.com;www.cildir.bel.tr;2870
ardahan;damal;4786514778;4786514778;damalbelediyesi@hotmail.com;;3210
ardahan;göle;4784113414;4784112005;golebelediyesi@hotmail.com;www.gole.bel.tr;6094
ardahan;hanak;47861122629;4786112586;hanakbelediyesi75@hotmail.com;www.hanak.bel.tr;3221
ardahan;posof;4785112015;4785112247;posofbelediyesi@hotmail.com;www.posofbelediyesi.com;1962
artvin;ardanuç;4666112179;4666112011;merkezbelediye@hotmail.com;www.ardanuc.bel.tr;6033
artvin;arhavi;4663124006;4663124006;iletisim@arhavi.bel.tr;www.arhavi.bel.tr;14823
artvin;borçka;4664151033;4664151371;bilgiislem@borcka.bel.tr;www.borcka.bel.tr;11770
artvin;hopa;4663514020;4663514600;hopabelediyesi@hotmail.com;www.hopa.bel.tr;18487
artvin;murgul;4667113011;4667113986;yaziisleri@murgul.bel.tr;www.murgul.bel.tr;4251
artvin;þavþat;4665171481;4665171026;savsatbelediyesi@hotmail.com;www.savsat.bel.tr;6588
artvin;yusufeli;4668112009;4668112084;yusufeli@yusufeli.bel.tr;www.yusufeli.bel.tr;7172
aydýn;bozdoðan;2564141008;2564141877;bilgi@bozdogan.bel.tr;www.bozdogan.bel.tr;34930
aydýn;buharkent;2563913005;2563913151;buharkentbelediyesi@hotmail.com;buharkent.bel.tr;12466
aydýn;çine;2567116028;2567116285;cinebelediyesi@gmail.com;www.cine.bel.tr;51020
aydýn;didim;2568112560;2568112111;info@didim.bel.tr;www.didim.bel.tr;64643
aydýn;germencik;2565630120;2565631472;germencik_bel@ttnet.net.tr;www.germencik.bel.tr;43209
aydýn;incirliova;2565851224;2565851225;incirliovabelediyesi@gmail.com;www.incirliova.bel.tr;45343
aydýn;karacasu;2564412011;2564412314;karacasubelediyesi@hotmail.com;www.karacasu.com.tr;19807
aydýn;karpuzlu;2567412211;2567412250;bilgi@karpuzlu.bel.tr;www.karpuzlu.bel.tr;11777
aydýn;koçarlý;2567614024;2567614032;;kocarli.bel.tr;24266
aydýn;köþk;2564613010;2564613096;koskbelediyesi_09@hotmail.com;www.kosk.bel.tr;27152
aydýn;kuþadasý;2566141003;2566141580;info@kusadasi.bel.tr;www.kusadasi.bel.tr;94995
aydýn;kuyucak;2563714494;2563714495;bilgi@kuyucak.bel.tr;www.kuyucak.bel.tr;27755
aydýn;nazilli;2563132028;2563134610;info@nazilli.bel.tr;www.nazilli.bel.tr;148531
aydýn;söke;2565181084;2565182093;bilgi@soke.bel.tr;www.soke.bel.tr;115541
aydýn;sultanhisar;2563513006;2563513290;sultanhisar_belediyesi09470@hotmail.com;;21114
aydýn;yenipazar;2563613004;2563613127;bilgi@yenipazar.bel.tr;www.yenipazar.bel.tr;13174
aydýn;efeler;;;;;265234
balýkesir;ayvalýk;2663121021;2663123219;info@ayvalik.bel.tr;www.ayvalik.bel.tr;64462
balýkesir;balya;2664861001;2664861001;balyabelediyesi@hotmail.com;www.balya.bel.tr;14153
balýkesir;bandýrma;2667111100;2667111144;belediye@bandirma-bld.gov.tr;www.bandirma-bld.gov.tr;143117
balýkesir;bigadiç;2666141209;2666143313;baskan@bigadic.bel.tr;www.bigadic.bel.tr;48728
balýkesir;burhaniye;2664126450;2664221006;bilgi@burhaniye.bel.tr;www.burhaniye.bel.tr;52674
balýkesir;dursunbey;2666621018;2666621928;dursunbeybelediyesi@yahoo.com;www.dursunbey.bel.tr;40572
balýkesir;edremit;2663734424;2663731094;baskan@edremit.bel.tr;www.edremit.bel.tr;129104
balýkesir;erdek;2668351050;2668353072;erdek@erdek-bld.gov.tr;www.erdek-bld.gov.tr;33410
balýkesir;gömeç;2663571053;2663572851;info@gomec.bel.tr;www.gomec.bel.tr;11965
balýkesir;gönen;2667623701;2667623337;gonenozelkalem@hotmail.com;www.balikesirgonen.bel.tr;73361
balýkesir;havran;2664321002;2664321333;havranbelediyesi@gmail.com;www.havran.bel.tr;27952
balýkesir;ivrindi;2664561004;2664561432;ivrindi@ivrindi.bel.tr;www.ivrindi.bel.tr;34643
balýkesir;kepsut;2665761008;2665761331;kepsut@kepsut.bel.tr;www.kepsut.bel.tr;24608
balýkesir;manyas;2668181012;2668182620;manyasbelediyesi@hotmail.com;;21039
balýkesir;marmara;2668855050;266885028;marbel118@mynet.com;www.marmara.bel.tr;9310
balýkesir;savaþtepe;2665521008;2665521243;;www.savastepe.bel.tr;19278
balýkesir;sýndýrgý;2665161124;2665164800;belediye@sindirgi.bel.tr;www.sindirgi.bel.tr;36402
balýkesir;susurluk;2668651910;2668651945;susurluk@susurluk.bel.tr;www.susurluk.bel.tr;40174
balýkesir;altýeylül;;;;;170260
balýkesir;karesi;;;;;167549
bartýn;amasra;3783151081;3783151986;amasrabelediyesi74@gmail.com;www.amasra.bel.tr;6640
bartýn;kurucaþile;3785181009;3785181891;bilgi@kurucasile.bel.tr;www.kurucasile.bel.tr;1826
bartýn;ulus;3784161015;3784161492;ulusbelediyesi@mynet.com;;3240
batman;beþiri;4883112202;4883112064;sevkal67@hotmail.com;;8852
batman;gercüþ;4883412158;4883412290;seyit-eriman@hotmail.com;www.gercus.bel.tr;4671
batman;hasankeyf;4883812277;4883812249;;;3190
batman;kozluk;4884112177;4884114070;kozlukbelediye@hotmail.com;www.kozluk.bel.tr;22840
batman;sason;4884612029;4884613129;sasonbelediyesi@mynet.com;www.sason.bel.tr;11802
bayburt;aydýntepe;4583114232;4583114133;aydintepe@aydintepe.bel.tr;www.aydintepe.bel.tr;2436
bayburt;demirözü;4584116003;4584116227;dembelediye69@hotmail.com;www.demirozu.bel.tr;2074
bilecik;bozüyük;2283146700;2283146705;info@bozuyuk.bel.tr;www.bozuyuk.bel.tr;61975
bilecik;gölpazarý;2284113833;2284113325;belediye@golpazari.bel.tr;www.golpazari.bel.tr;5958
bilecik;inhisar;2283712253;2283712251;inhisar@inhisar.bel.tr;;1066
bilecik;osmaneli;2284614131;2284614018;osmaneli@osmaneli.bel.tr;www.osmaneli.bel.tr;14588
bilecik;pazaryeri;2283812157;2283812616;info@pazaryeri.bel.tr;www.pazaryeri.bel.tr;6818
bilecik;söðüt;2283613009;2283613866;sogut@sogut.bel.tr;www.sogut.bel.tr;14216
bilecik;yenipazar;2284312027;2284312221;;;1064
bingöl;adaklý;4266112007;4266112251;;www.adakli.bld.tr;3240
bingöl;genç;4264113010;4264112583;bilgi@genc.bel.tr;www.genc.bel.tr;18716
bingöl;karlýova;4265112669;4265113081;kar.bel_12@hotmail.com;www.karliova.bel.tr;6676
bingöl;kiðý;4263112005;4263112502;kigibelediyesi@ttnet.tr;www.kigibelediyesi.com;3407
bingöl;solhan;4267112013;4267112072;yaziisleri@hotmail.com;www.solhan.bel.tr;16636
bingöl;yayladere;4263412005;4263412208;yayladerebel@hotmail.com;www.yayladere.bel.tr;1089
bingöl;yedisu;4263717178;4263717007;zekisali@hotmail.com;www.yedisubelediyesi.com;1532
bitlis;adilcevaz;4343113008;4343112680;adilcevazbelediyesi@gmail.com;www.adilcevaz.com;14275
bitlis;ahlat;4344124113;4344124117;baskan@ahlat.bel.tr;www.ahlat.bel.tr;21539
bitlis;güroymak;4345112401;4345113022;guroymak@guroymak.bel.tr.;www.guroymak.bel.tr;22328
bitlis;hizan;4346112007;4346112610;hizan.bel.tr;www.hizan.bel.tr;11283
bitlis;mutki;4347112009;4347112095;;www.mutki.bel.tr;2380
bitlis;tatvan;4348275200;4348275212;info@tatvan.bel.tr;www.tatvan.bel.tr;65641
bolu;dörtdivan;3743314159;3743314002;;www.dortdivan.bel.tr;2931
bolu;gerede;3743116700;3743116703;belediye@gerede.bel.tr;www.gerede.bel.tr;24127
bolu;göynük;3744516265;3744512454;info@bolugoynuk.bel.tr;www.bolugoynuk.bel.tr;3841
bolu;kýbrýscýk;3744412394;3744412023;info@kibriscik.bel.tr;www.kibriscik.bel.tr;1253
bolu;mengen;3743561400;3743561201;mengenbelediye@gmail.com;www.mengenbelediyesi.com;5304
