id;mahalle_kod;kod;ad;sokak_turu;sokak_turu_aciklama;gelisim_durumu_aciklama;gelisim_durumu_kodu;sabit_tanitim_numarasi
1230110;601419;110344;ÇUBUKLUBALA;3;CADDE;ORTA GELISMIS;2;0.0
1230111;601419;110347;ÇİFTLİK;4;SOKAK;ORTA GELISMIS;2;1.0
1230112;601419;110348;BAYHAN;4;SOKAK;ORTA GELISMIS;2;0.0
1230113;601419;110349;KARAASLANLAR;4;SOKAK;ORTA GELISMIS;2;1.0
1230114;601419;290752;ACI ELMADÜZÜ;4;SOKAK;ORTA GELISMIS;2;0.0
1230115;601419;290753;NEVBAHAR;4;SOKAK;ORTA GELISMIS;2;1.0
1230116;601419;860402;KAYRA;4;SOKAK;ORTA GELISMIS;2;1.0
1230117;601419;860403;GAZİ HACI SÜLEYMAN;4;SOKAK;ORTA GELISMIS;2;1.0
1230118;601419;14302590;İZMİT KANDIRA YOLU;3;CADDE;ORTA GELISMIS;2;13.0
1230119;601567;192164;TERZİLER MERKEZ MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;590.1
1230120;601567;446974;İĞCİLER MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1230121;601567;748098;BOŞNAKLAR MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1230122;601567;748099;PİROĞLU MEVKİİ;5;KÜME EVLER;ORTA GELISMIS;2;0.0
1230123;602169;1163856;KIRCA;3;CADDE;ORTA GELISMIS;2;9.02
1230124;602169;12015848;YEKDAR;3;CADDE;ORTA GELISMIS;2;9.01
1230125;602169;356972001;ORTAEVLER;4;SOKAK;ORTA GELISMIS;2;9.05
1230126;602169;465122731;HACI AHMET EVİN;3;CADDE;ORTA GELISMIS;2;9.04
1230127;602169;519879561;ORMAN;3;CADDE;ORTA GELISMIS;2;9.03
1230128;602169;617158680;SILO;3;CADDE;ORTA GELISMIS;2;9.0
1230129;603993;498384;İSMAİL KÖY;4;SOKAK;ORTA GELISMIS;2;0.0
1230130;603993;104328960;3005;4;SOKAK;ORTA GELISMIS;2;5.0
1230131;603993;111698510;3008;4;SOKAK;ORTA GELISMIS;2;8.0
1230132;603993;237008670;3003;4;SOKAK;ORTA GELISMIS;2;3.0
1230133;603993;240387130;3007;4;SOKAK;ORTA GELISMIS;2;7.0
