id;il_kod;province;universities__name;universities__phone;universities__fax;universities__website;universities__email;universities__adress;universities__rector
1;1;ADANA;ADANA BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;0 (322) 455 00 01;0 (322) 455 00 02;http://www.adanabtu.edu.tr;rektorluk@adanabtu.edu.tr;Gültepe Mahallesi, Çatalan Caddesi No:201/5 01250 Sarıçam/ADANA;MEHMET TÜMAY
2;1;ADANA;ÇUKUROVA ÜNİVERSİTESİ;0 (322) 338 60 84;0 (322) 338 69 45;www.cu.edu.tr;genel-sekreter@cu.edu.tr;Çukurova Üniversitesi Rektörlüğü 01330 Balcalı, Sarıçam / ADANA;MUSTAFA KİBAR
3;2;ADIYAMAN;ADIYAMAN ÜNİVERSİTESİ;0 (416) 223 38 40;0 (416) 223 38 43;http://www.adiyaman.edu.tr/;bidb@adiyaman.edu.tr;Altınşehir Mh. 3005 Sokak No:13 02040 / ADIYAMAN;MUSTAFA TALHA GÖNÜLLÜ
4;3;AFYONKARAHİSAR;AFYON KOCATEPE ÜNİVERSİTESİ;0 (272) 444 03 03;0 (272) 228 14 01;http://www.aku.edu.tr;ozkalem@aku.edu.tr;Afyon Kocatepe Üniversitesi Rektörlüğü ANS Kampusü Gazlıgöl Yolu Üzeri;MUSTAFA SOLAK
5;3;AFYONKARAHİSAR;AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;-;-;-;-;-;-
6;4;AĞRI;AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;0 (472) 216 20 08;0 (472) 215 11 82;http://www.agri.edu.tr;gensek@agri.edu.tr;Erzurum yolu  4 km 04100 Merkez / AĞRI;ABDULHALİK KARABULUT
7;5;AMASYA;AMASYA ÜNİVERSİTESİ;0 (358) 211 50 05;0 (358) 218 01 04;http://www.amasya.edu.tr;webadmin@amasya.edu.tr;Akbilek Mah. Hakimiyet cad. No:4/3 PK: 05100 Merkez/AMASYA;METİN ORBAY
8;6;ANKARA;ANKA TEKNOLOJİ ÜNİVERSİTESİ;-;-;-;-;-;MEHMET ÇELİK
9;6;ANKARA;ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;-;-;-;-;-;-
10;6;ANKARA;ANKARA MEDİPOL ÜNİVERSİTESİ;-;-;-;-;-;-
11;6;ANKARA;ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;-;-;-;-;-;-
12;6;ANKARA;ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;0 (312) 596 44 44;0 (312) 596 44 24;http://www.asbu.edu.tr/;bilgi@asbu.edu.tr;Hükümet Meydanı No: 2 Ulus/ANKARA;MEHMET BARCA
13;6;ANKARA;ANKARA ÜNİVERSİTESİ;0 (312) 223 43 61;0 (312) 223 63 70;http://www.ankara.edu.tr;ankara@ankara.edu.tr;Ankara Üniversitesi Rektörlüğü Tandoğan/ANKARA;ERKAN İBİŞ
14;6;ANKARA;ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;0 (312) 324 15 55;0 (312) 324 15 05;www.ybu.edu.tr;destek@ybu.edu.tr;Ankara Yıldırım Beyazıt Üniversitesi Esenboğa Külliyesi Esenboğa/Ankara;METİN DOĞAN
15;6;ANKARA;ATILIM ÜNİVERSİTESİ;0 (312) 586 82 00;0 (312) 586 80 91;www.atilim.edu.tr;atilimrektorluk@atilim.edu.tr;Atılım Üniversitesi Kızılcaşar Mah. İncek Kampüsü Gölbaşı/İncek/ANKARA;MEHMET YILDIRIM ÜÇTUĞ
16;6;ANKARA;BAŞKENT ÜNİVERSİTESİ;0 (312) 246 66 66;0 (312) 246 67 56;http://www.baskent.edu.tr;rektorlk@baskent.edu.tr;Başkent Üniversitesi Bağlıca Kampusu Eskişehir Yolu 20. Km Etimesgut/Ankara;ALİ HABERAL
17;6;ANKARA;ÇANKAYA ÜNİVERSİTESİ;0 (312) 233 10 00 - 0 (312) 284 45 00;0 (312) 233 10 29 - 0(312) 286 40 78;http://www.cankaya.edu.tr/;webadmin@cankaya.edu.tr;Çankaya Üniversitesi  Merkez Kampüs : Eskişehir Yolu 29. Km Yukarıyurtçu Mahallesi, Mimar Sinan Caddesi No:4, 06790, Etimesgut / ANKARA;HAMDİ MOLLAMAHMUTOĞLU
18;6;ANKARA;GAZİ ÜNİVERSİTESİ;0 (312) 212 68 40 - 0 (312) 202 20 00;0 (312) 221 32 02;http://gazi.edu.tr/;.@gazi.edu.tr;Gazi Üniversitesi Rektörlüğü 06500 Teknikokullar / Ankara;İBRAHİM USLAN
19;6;ANKARA;HACETTEPE ÜNİVERSİTESİ;0 (312) 305 10 01;0 (312) 310 40 51;http://hacettepe.edu.tr;ozelkalem@hacettepe.edu.tr;Hacettepe Üniversitesi Rektörlüğü Sıhhıye/ANKARA;ABDURRAHİM HALUK ÖZEN
20;6;ANKARA;İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;0 (312) 266 41 20;0 (312) 266 41 27;http://www.bilkent.edu.tr/;bilinfo@bilkent.edu.tr;BİLKENT ÜNİVERSİTESİ 06800 BİLKENT/ANKARA;ABDULLAH ATALAR
21;6;ANKARA;LOKMAN HEKİM ÜNİVERSİTESİ;-;-;-;-;-;-
22;6;ANKARA;ORTA DOĞU TEKNİK ÜNİVERSİTESİ;0 (312) 210 11 00;210 11 05;http://www.metu.edu.tr;gensek@metu.edu.tr;Orta Doğu Teknik Üniversitesi Üniversiteler Mah.Dumlupınar Blv.No:1 06800 Çankaya Ankara/TÜRKİYE;MUSTAFA VERŞAN KÖK
23;6;ANKARA;OSTİM TEKNİK ÜNİVERSİTESİ;-;-;-;-;-;-
24;6;ANKARA;TED ÜNİVERSİTESİ;0 (312) 418 41 47;0 (312) 418 41 48;http://www.tedu.edu.tr;info@tedu.edu.tr;TED Üniversitesi, Ziya Gökalp Caddesi No.48 06420, Kolej Çankaya ANKARA;HALİSE BELGİN AYVAŞIK
